locality,status,auto_quality,last_model_run,n_images,n_labeled,last_update
arctic-eur_isetensis-Kipshenga_RU_25,MANUAL,,20251115_144035,16,16,2025-11-19 20:46:26
arctic-eur_isetensis-Likhtosh-2_RU_25,MANUAL,,20251116_101421,22,22,2025-11-17 21:53:11
balkh-alakol_Ayagoz_KZ_25,MANUAL,,,19,19,2025-11-14 18:12:09
balkh-alakol_Karakol_KZ_25,MANUAL,,,13,13,2025-11-14 18:12:09
balkh-alakol_Lepsy_KZ_25,MANUAL,,,11,11,2025-11-14 18:12:09
baltsea-east_isetensis-Allol_RU_25,MANUAL,46,20251117_221738,9,9,2025-11-19 16:47:23
baltsea-east_isetensis-Ryadan-Chern-Dymka_RU_25,MANUAL,,,7,7,2025-11-14 21:25:15
baltsea-east_isetensis-Sitnya_RU_25,MANUAL,,,19,19,2025-11-14 18:12:09
baltsea-east_isetensis-Velesa_RU_25,MANUAL,,,19,19,2025-11-19 22:17:35
baltsea-east_isetensis-Vydega_RU_25,MANUAL,,,25,25,2025-11-19 19:08:17
don_Ptan_RU_25,MANUAL,,,23,23,2025-11-19 19:42:49
ob-altay_Belokurikha_RU_25,MANUAL,,,11,11,2025-11-14 18:12:09
ob-altay_Bol_Terekta_RU_25,MANUAL,,,15,15,2025-11-14 18:12:09
ob-altay_Chaganka_RU_25,MANUAL,,,29,29,2025-11-14 18:12:09
ob-altay_Jumaly_RU_25,MANUAL,,,31,31,2025-11-19 20:58:05
ob-altay_Kamenka_RU_25,MANUAL,,,11,11,2025-11-14 18:12:09
ob-altay_Kan_RU_25,MANUAL,,,19,19,2025-11-19 21:03:11
ob-altay_Katun_Nizh-Ujmon_RU_25,,,,21,0,2025-11-14 18:12:09
ob-altay_Kubardu_RU_25,MANUAL,,,11,11,2025-11-14 18:12:09
ob-altay_Nizh-Kalmanka_RU_25,MANUAL,,,7,7,2025-11-14 18:12:09
ob-altay_Shipunikha_RU_25,,,,13,0,2025-11-14 18:12:09
ob-altay_Talovka_RU_25,,,,13,0,2025-11-14 18:12:09
ob-altay_Ursul_RU_25,MANUAL,,,7,7,2025-11-14 18:12:09
ob-altay_Usay_RU_25,,,,28,0,2025-11-14 18:12:09
ob-irtysh_Abylaikit_KZ_25,MANUAL,,,16,6,2025-11-19 20:03:17
ob-irtysh_Bol-Kamenka_RU_25,,,,27,0,2025-11-14 18:12:09
ob-irtysh_Kalzhir_KZ_25,MANUAL,,,6,6,2025-11-18 02:58:15
ob-irtysh_Kendirlik_KZ_25,,,,24,0,2025-11-14 18:12:09
ob-irtysh_Kurchum_KZ_25,,,,12,0,2025-11-14 18:12:09
ob-irtysh_Sht-Terekty_KZ_25,,,,16,0,2025-11-14 18:12:09
ob-irtysh_Tainty_KZ_25,,,,33,0,2025-11-14 18:12:09
turk-west_abanticus-Abant_TR_25,MANUAL,,,10,10,2025-11-14 18:12:09
turk-west_kottelati-Uludere_TR_25,,,,21,0,2025-11-14 18:12:09
turk-west_radeki-Buyuk_TR_25,MANUAL,,,16,16,2025-11-19 21:21:25
turk-west_strandjae-Balabandere_TR_25,,,,17,0,2025-11-14 18:12:09
volga-kama_isetensis-Aspa_RU_25,,,,23,0,2025-11-15 00:06:23
volga-kama_isetensis-Barmysh_RU_25,MANUAL,,20251119_014441,8,8,2025-11-19 21:16:43
volga-kama_isetensis-Berezovaya_RU_25,,,,30,0,2025-11-14 18:12:09
volga-kama_isetensis-Bol-Yavysh_RU_25,,,,23,0,2025-11-15 00:06:23
volga-kama_isetensis-Bui_RU_25,,,,27,0,2025-11-14 18:12:09
volga-kama_isetensis-Koyva_RU_25,,,,21,0,2025-11-14 18:12:09
volga-kama_isetensis-Lunva_RU_25,MANUAL,,,10,10,2025-11-19 21:32:47
volga-kama_isetensis-Vilva_RU_25,,,,17,0,2025-11-14 21:25:15
volga-mid_isetensis-Polpota_RU_25,,,,22,0,2025-11-14 18:12:09
volga-mid_isetensis-Yulovka_RU_25,MANUAL,,,8,8,2025-11-19 22:18:14
volga-up_isetensis-Lam_RU_25,MANUAL,,,12,12,2025-11-19 16:48:16
volga-up_isetensis-Osuga_RU_25,,,,18,0,2025-11-14 21:25:15
volga-up_isetensis-Pes_RU_25,MANUAL,,,14,14,2025-11-19 22:03:04
